year,toy_num,model_name,series,photo_url
1984,,Turbo Streak,,[]
1984,,Turbo Streak,,[]
1984,3252,'35 Classic Caddy,1/7,[]
1984,3913,'67 Camaro,2/7,[]
1984,2505,Auburn 852,3/7,[]
1984,1698,Cadillac Seville,4/7,[]
1984,2501,Royal Flash,5/7,[]
1984,1694,Turismo,6/7,[]
1984,1130,Tricar X8,7/7,[]
1984,,Mustang Stocker,Speed Machines,[]
1984,Malaysia,'31 Doozie,Red w/Brown plastic fenders,https://static.wikia.nocookie.net/hotwheels/images/7/75/%2731_Doozie_-_5374df.jpg/revision/latest?cb=20090612143331
1984,Malaysia,'31 Doozie,Red w/Red plastic fenders,https://static.wikia.nocookie.net/hotwheels/images/2/2a/31_Doozie_RedRd.JPG/revision/latest?cb=20081220200023
1984,Malaysia,'56 Hi-Tail Hauler,Met. Blue,https://static.wikia.nocookie.net/hotwheels/images/3/31/56hitail_extras.JPG/revision/latest?cb=20090907023201
1984,Malaysia,Ford Stake Bed Truck,Blue,https://static.wikia.nocookie.net/hotwheels/images/b/b6/Ford_Stake_bluTan.JPG/revision/latest?cb=20091021154529
1984,Hong Kong,Oshkosh Snow Plow,Orange with Metal top,https://static.wikia.nocookie.net/hotwheels/images/b/b5/Oshkosh_Snowplow_OrgOrgCT.JPG/revision/latest?cb=20091118161006
1984,Malaysia,Peterbilt Dump Truck,Yellow,https://static.wikia.nocookie.net/hotwheels/images/4/4e/Peterbilt_Dump_Yel.JPG/revision/latest?cb=20091021113519
1984,Malaysia,Sunagon,Metalflake Blue and Light Blue,https://static.wikia.nocookie.net/hotwheels/images/4/43/Sunagon_Blue.JPG/revision/latest?cb=20090104194118
1984,Malaysia,Upfront 924,Metalflake Gold,https://static.wikia.nocookie.net/hotwheels/images/7/75/Upfront_944_Goldextras.jpg/revision/latest?cb=20091020095047
1984,1132,3-Window '34,HiRakers,[]
1985,5908,'65 Mustang Convertible,,[]
1985,,Baja Bug,,[]
1985,,Battle Tank,,[]
1985,5910,Blazer 4x4,,[]
1985,5901,Blown Camaro,,[]
1985,5904,Good Humor Truck,,[]
1985,5905,Oshkosh Snow Plow,Workhorses,[]
1985,5609,Phone Truck,,[]
1985,3290,Rolls-Royce Phantom II,Classics,[]
1985,3290,Rolls-Royce Phantom II,Classics,[]
1985,5900,Thunderbird Stocker,,[]
1985,4921,Troop Convoy,Action Command,[]
1985,4921,Troop Carrier,,[]
1985,5911,Turbo Heater,,[]
1985,5907,Baja Bug,,[]
1985,,Baja Bug,,[]
1985,,Dodge Rampage,,[]
1985,5903,Dodge Rampage,,[]
1985,5909,Dream Van XGW,,[]
1985,5909,Dream Van XGW,,[]
1985,4372,Lightning Gold,,/wiki/El_Rey_Special
1985,4372,Lightning Gold,,/wiki/El_Rey_Special
1985,Malaysia,Flame Runner,Spectraflame Gold,https://static.wikia.nocookie.net/hotwheels/images/8/87/Flame_Runner_GldR.JPG/revision/latest?cb=20091004030459
1985,Malaysia,Flame Runner,Unpainted,https://static.wikia.nocookie.net/hotwheels/images/5/55/Flame_Runner_UnptR.JPG/revision/latest?cb=20091004030459
1985,Malaysia,Predator,Spectraflame Green,https://static.wikia.nocookie.net/hotwheels/images/d/d4/P928_Grn.JPG/revision/latest?cb=20090313204358
